galaxy,chi2_red
NGC3893,0.22849044061017035
NGC0300,0.4429079866059618
UGC06983,0.20317732128158167
UGC05764,11.139674743922065
UGC12632,0.15281553375420345
UGC06930,0.14928552805010467
UGC04278,0.4157435159480304
UGC06917,0.22935866053097112
UGC09037,0.42838145614863915
F583-1,0.273003562144335
F563-V2,0.31915868080222815
NGC4559,0.2795091061261651
DDO064,0.40589866316688517
DDO161,0.2009903683113272
UGC06786,0.4419528195070722
UGC07524,0.39555980887199244
UGC01281,0.07241298653604145
F574-1,0.48959794204592455
NGC2976,0.29232010265814135
ESO563-G021,10.230570908652854
UGC05005,0.05908113411233173
F568-V1,0.12333240498108726
D631-7,0.39703311566369875
NGC2366,0.1639438644487059
IC4202,13.62111952007739
UGC11914,0.4128449930300657
F563-1,0.3398991250543117
NGC7814,0.3609740629603636
DDO154,0.4531432921074482
UGC05750,0.09342576488217937
NGC3521,0.12308186386683535
UGC03546,0.4302982020575086
NGC4183,0.3044631775477536
UGC07089,0.12403243640749768
UGCA444,0.3636743707202014
NGC4157,0.25957307548377867
NGC2915,0.3967027631810453
UGC07603,0.40681705628075115
UGC07125,0.43532601549137284
F583-4,0.3330168878259064
KK98-251,0.4028134672374556
UGC00731,10.149963615080164
NGC3109,0.3337175429262323
F568-1,0.3504028315660119
NGC0100,0.20315456845784266
UGC06614,0.17617679335411832
UGC05829,0.35420375877214844
NGC5005,0.05926110849219577
UGC08490,0.4469907941313114
