galaxy,chi2,chi2_red,n_dof,success,r_core,AIC,BIC,convergence_info,log_rho_s,log_r_s,Y_disk,Y_bulge
NGC3893,1.3709426436610221,0.22849044061017035,6,True,1.5173059088837295,9.370942643661023,10.581283015637204,"DE: nit=32, nfev=2045",7.29408956685086,0.9948411420543639,0.5041183463846278,0.5605271346770968
NGC4214,9.459550092581987,0.9459550092581986,10,True,1.871042547498783,17.459550092581985,20.01577941104302,"DE: nit=29, nfev=2200",6.736452874421178,1.016476123923164,1.2,0.9067837539094799
NGC0300,9.301067718725198,0.4429079866059618,21,True,1.9051462416781513,17.3010677187252,22.176571018198,"DE: nit=31, nfev=1990",6.496646127870153,1.215314450993486,1.070015437833821,1.1854224920610437
NGC3769,4.955469637196954,0.6194337046496192,8,True,1.7548263214395388,12.955469637196954,14.895096236348955,"DE: nit=29, nfev=1855",6.892144438589792,1.0605751737268263,0.4262828643065891,0.9924132023123171
UGC06983,2.6413051766605617,0.20317732128158167,13,True,1.7958022953373316,10.641305176660563,13.974158552885427,"DE: nit=30, nfev=1920",6.892426965809545,0.989227789887607,1.0951079433661135,1.2223691198528157
UGC05764,66.83804846353239,11.139674743922065,6,True,1.1870570633246287,74.83804846353239,76.04838883550858,"DE: nit=37, nfev=2860",9.07890440525159,-0.4812304844975554,1.1997133417771544,0.7853806873198117
UGC11557,3.8831840782985587,0.5547405826140798,7,True,1.9219302109296204,11.883184078298559,13.474765169492041,"DE: nit=37, nfev=2340",6.516408739199952,1.1268881829495851,0.1341197951051007,0.988719732262444
UGC12632,1.6809708712962381,0.15281553375420345,11,True,1.8866419232160745,9.680970871296239,12.513171675705077,"DE: nit=43, nfev=2715",6.475701822976126,1.0207635731531828,1.2,1.4033198296479523
NGC1705,12.01522609834898,1.2015226098348981,10,True,1.4660935528396737,20.015226098348982,22.571455416810014,"DE: nit=32, nfev=2055",8.319298939750775,0.009570738533373454,1.2,0.579833524559852
NGC6015,248.5979820260774,6.214949550651935,40,True,1.48674541415597,256.5979820260774,263.73474056175047,"DE: nit=30, nfev=1970",7.4893726898652995,0.8555481250818096,0.35153511329198645,0.7756800101439381
NGC3972,4.199579815613512,0.6999299692689186,6,True,1.7114465983280458,12.199579815613511,13.409920187589695,"DE: nit=33, nfev=2095",6.940602488207477,1.075320761099596,0.5752173665030912,0.97876873707577
NGC0247,66.92036598100086,3.041834817318221,22,True,1.9144842766652492,74.92036598100086,79.95275213308679,"DE: nit=32, nfev=2030",6.484624729307438,1.1049754496561395,1.2,1.339455107185756
UGC07323,3.662294281626254,0.6103823802710423,6,True,1.9683038344893455,11.662294281626254,12.872634653602436,"DE: nit=29, nfev=1875",6.121134630652717,1.5073601917692472,0.8811651661023903,1.3140082709519578
UGC03580,118.78658557082834,2.76247873420531,43,True,1.7852742107138755,126.78658557082834,134.18717597766857,"DE: nit=50, nfev=3190",6.742582955652101,1.1632528243966054,0.2843779906173184,0.3
UGC06930,0.8957131683006281,0.14928552805010467,6,True,1.8616190681103972,8.895713168300627,10.10605354027681,"DE: nit=28, nfev=2210",6.733402989113842,1.0142832873320329,0.9913440724811978,0.6121482548746111
UGC12732,15.267042815501256,1.272253567958438,12,True,1.924360451482836,23.267042815501256,26.357397704460382,"DE: nit=37, nfev=2330",6.480103444809782,1.1552275619099661,1.2,0.598148871681029
F568-3,25.90808034408118,1.85057716743437,14,True,1.9103081386203937,33.908080344081185,37.46956737566584,"DE: nit=17, nfev=1155",6.3426096840443815,1.3724508260400583,0.8091189704461011,0.7790370188192295
UGC09133,221.0557801184064,3.4539965643501,64,True,1.702765166573259,229.0557801184064,237.93381093911083,"DE: nit=46, nfev=2945",6.482608179184726,1.5202448137403635,0.7241063913119656,0.6036480244706899
UGC04278,8.314870318960608,0.4157435159480304,20,True,1.8633850049643192,16.314870318960608,21.02708564035239,"DE: nit=25, nfev=1650",6.27969608914838,1.5421360330487583,1.0307449038144383,0.7808461592151977
UGC06917,1.6055106237167978,0.22935866053097112,7,True,1.8623491839013773,9.605510623716798,11.19709171491028,"DE: nit=38, nfev=2395",6.68361438186179,1.0856869919565741,1.0756281150538665,0.7069931180768048
UGC09037,7.710866210675505,0.42838145614863915,18,True,1.695723527220593,15.710866210675505,20.07503602410877,"DE: nit=36, nfev=2290",6.85692431757764,1.1771047651317983,0.19782249677886918,1.1569584469404288
NGC2403,199.63439936598735,2.8932521647244545,69,True,1.8056203844974312,207.63439936598735,216.79623713058092,"DE: nit=33, nfev=2120",6.56465457414884,1.3137624437426036,0.7848000639159993,0.9219016177576621
F583-1,5.733074805031036,0.273003562144335,21,True,2.6901930979672874,13.733074805031036,18.608578104503838,"DE: nit=39, nfev=2465",6.480038884554947,1.1320967565886606,0.1,0.6608658411758026
F563-V2,1.9149520848133688,0.31915868080222815,6,True,1.7051025130837525,9.914952084813368,11.12529245678955,"DE: nit=33, nfev=2095",7.048070066181826,0.9791527033859536,1.2,0.7569694936120861
NGC4559,7.826254971532622,0.2795091061261651,28,True,1.789641616676377,15.826254971532622,21.689198582731528,"DE: nit=36, nfev=2335",6.800225387353368,1.0964498177251543,0.36081985059424787,1.2089198461425101
F579-V1,7.638946077270908,0.7638946077270907,10,True,1.552017630341057,15.638946077270909,18.19517539573194,"DE: nit=37, nfev=2320",7.834128932849614,0.4069847012391189,1.2,0.4093223966695096
DDO064,4.058986631668851,0.40589866316688517,10,True,1.2527197855055565,12.058986631668851,14.615215950129885,"DE: nit=25, nfev=2020",8.266812253244277,-0.16311370399848207,0.2445614343631375,0.9374036696821695
UGC07399,34.0217691380146,5.670294856335766,6,True,1.6145843097873542,42.0217691380146,43.23210950999078,"DE: nit=32, nfev=2040",7.537219224488935,0.6215687282396313,1.2,0.6524705688427
NGC0801,54.764901796807955,6.0849890885342175,9,True,1.9455295504104806,62.764901796807955,65.0246992266541,"DE: nit=35, nfev=2630",4.8956273501042675,2.4321742080515456,0.6479921826334395,1.0692651327322673
DDO161,5.426739944405834,0.2009903683113272,27,True,1.8575195828711235,13.426739944405835,19.16268876234642,"DE: nit=33, nfev=2100",5.8971040805126504,1.3959025127419389,0.7000996787040247,0.6557424234733151
UGC11455,68.73135203881678,2.1478547512130244,32,True,1.4206864570102344,76.73135203881678,83.06542779264122,"DE: nit=33, nfev=2155",7.127613967486801,1.2830033327118138,0.28711635913064987,0.9159640941159978
UGC06786,18.12006559978996,0.4419528195070722,41,True,1.2651371173639379,26.12006559978996,33.34671555887124,"DE: nit=67, nfev=4170",7.767751054755174,0.9168738763264961,0.1,0.5543962552321092
